Word,Count,Brand
car,1817,no
bmw,1220,yes
cars,1171,no
like,1151,no
one,1033,no
dont,972,no
would,936,no
tl,926,no
get,907,no
think,876,no
g35,735,no
im,668,no
much,664,no
better,660,no
drive,637,no
even,630,no
3,603,no
performance,602,no
new,596,no
good,590,no
know,585,no
people,585,no
really,564,no
well,552,no
best,528,no
acura,564,yes
also,517,no
still,492,no
sedan,487,no
want,485,no
say,482,no
driving,466,no
time,465,no
thats,451,no
way,450,no
make,447,no
see,447,no
go,423,no
lexus,407,yes
luxury,402,no
could,399,no
buy,397,no
engine,396,no
honda,388,yes
series,378,no
price,374,no
doesnt,373,no
great,373,no
audi,372,no
330i,371,no
going,371,no
take,364,no
right,361,no
many,360,no
less,356,no
infiniti,353,yes
years,351,no
look,346,no
cant,346,no
power,345,no
ive,341,no
handling,333,no
never,329,no
back,328,no
got,319,no
sure,319,no
id,317,no
test,316,no
interior,315,no
said,313,no
rwd,309,no
two,308,no
hp,304,no
manual,301,no
point,296,no
may,295,no
thing,293,no
nissan,291,yes
fwd,288,no
little,288,no
lot,287,no
feel,286,no
toyota,285,yes
around,284,no
2,283,no
different,281,no
g,277,no
didnt,269,no
another,268,no
maybe,267,no
need,267,no
sport,263,no
something,262,no
since,258,no
class,257,no
probably,255,no
every,253,no
5,253,no
looking,252,no
ill,249,no
year,247,no
believe,247,no
makes,247,no
road,246,no
nice,245,no
etc,244,no
actually,243,no
last,242,no
isnt,241,no
first,240,no
getting,240,no
fun,239,no
torque,231,no
though,231,no
agree,228,no
sales,228,no
guess,223,no
us,223,no
fact,222,no
long,221,no
big,221,no
speed,221,no
without,221,no
either,219,no
far,219,no
things,218,no
cts,217,no
6,217,no
difference,215,no
1,214,no
love,214,no
always,214,no
money,213,no
pretty,213,no
yes,212,no
made,212,no
old,212,no
driven,212,no
top,211,no
youre,211,no
anything,210,no
find,210,no
looks,207,no
nothing,207,no
awd,206,no
package,206,no
enough,206,no
come,206,no
value,205,no
coupe,205,no
almost,201,no
hard,201,no
4,201,no
yet,199,no
ever,199,no
read,199,no
give,199,no
gas,197,no
bad,196,no
used,196,no
seems,196,no
auto,196,no
least,194,no
drove,193,no
vehicle,192,no
subaru,192,yes
might,190,no
real,190,no
others,190,no
regards,190,no
next,187,no
anyone,187,no
sedans,186,no
numbers,186,no
high,185,no
tires,184,no
is300,182,no
reliability,182,no
put,182,no
keep,181,no
325i,178,no
front,178,no
talking,173,no
course,172,no
end,171,no
mean,171,no
else,171,no
however,171,no
mb,168,no
vehicles,168,no
comes,168,no
thought,168,no
day,167,no
330,166,no
world,165,no
line,165,no
reason,165,no
quite,165,no
30,165,no
060,164,no
sports,163,no
post,162,no
bit,160,no
experience,160,no
wont,159,no
vs,159,no
problem,157,no
use,157,no
miles,157,no
fast,157,no
ride,157,no
theres,156,no
mercedes benz,156,yes
level,156,no
bought,155,no
true,155,no
driver,155,no
thanks,155,no
volkswagen,154,yes
automatic,154,no
model,153,no
based,153,no
someone,152,no
brand,152,no
wrong,152,no
shipo,152,no
must,152,no
opinion,151,no
buying,151,no
wouldnt,149,no
quality,148,no
everything,147,no
market,146,no
track,145,no
times,143,no
faster,143,no
drivers,142,no
second,142,no
gets,141,no
mileage,140,no
japanese,140,no
near,140,no
cost,140,no
worth,139,no
entry,139,no
matter,139,no
3series,139,no
work,139,no
compared,138,no
seats,138,no
close,137,no
dealer,137,no
care,137,no
tell,136,no
rather,135,no
system,134,no
cd,134,no
pay,134,no
comparison,133,no
rear,132,no
mind,132,no
mph,131,no
transmission,131,no
seen,130,no
choice,130,no
steering,130,no
discussion,130,no
try,129,no
ford,129,yes
lets,128,no
wheels,127,no
overall,126,no
especially,125,no
everyone,125,no
volvo,125,no
styling,125,no
v6,125,no
seem,125,no
done,124,no
unless,124,no
theyre,123,no
saab,122,yes
size,122,no
weight,121,no
let,121,no
wheel,121,no
compare,120,no
low,120,no
live,120,no
seat,120,no
saying,120,no
oh,120,no
features,119,no
hyundai,119,yes
part,118,no
small,118,no
issue,117,no
tls,116,no
list,116,no
found,115,no
steer,115,no
interesting,115,no
acceleration,114,no
problems,114,no
board,114,no
standard,113,no
60,113,no
extra,113,no
away,113,no
mpg,113,no
enjoy,112,no
deal,112,no
yeah,112,no
expensive,111,no
sorry,111,no
change,111,no
10,110,no
already,110,no
understand,109,no
ago,108,no
2004,108,no
7,108,no
trying,107,no
fine,107,no
wanted,107,no
hope,107,no
set,106,no
highway,106,no
category,105,no
design,105,no
check,105,no
number,104,no
question,104,no
although,104,no
cr,104,no
premium,103,no
needs,103,no
higher,102,no
models,102,no
came,101,no
suspension,101,no
available,100,no
simply,100,no
consider,100,no
sell,100,no
certainly,100,no
snow,99,no
owners,99,no
owned,99,no
making,98,no
start,98,no
add,97,no
side,97,no
325,97,no
fuel,97,no
cadillac,96,yes
prefer,96,no
chevrolet,96,yes
engines,96,no
wasnt,96,no
run,95,no
whole,95,no
imo,95,no
beat,95,no
comparing,95,no
american,95,no
remember,95,no
felt,94,no
important,94,no
2005,94,no
place,94,no
race,93,no
happy,93,no
three,93,no
wife,93,no
btw,93,no
couldnt,93,no
anyway,93,no
leather,92,no
buyers,92,no
300,92,no
heard,92,no
current,92,no
segment,91,no
havent,91,no
guys,91,no
reliable,91,no
kind,90,no
sold,90,no
plus,90,no
average,90,no
tranny,90,no
type,89,no
safety,89,no
given,88,no
goes,88,no
turn,88,no
past,88,no
options,88,no
04,87,no
exterior,87,no
lol,87,no
turbo,86,no
days,86,no
considered,86,no
bimmer,86,no
guy,86,no
german,86,no
ctsv,86,no
means,85,no
hear,85,no
show,85,no
p,85,no
definitely,85,no
went,85,no
similar,85,no
folks,85,no
mention,84,no
factor,84,no
style,84,no
able,83,no
cheap,83,no
person,83,no
drives,83,no
spend,83,no
help,83,no
sound,82,no
ok,82,no
arent,82,no
left,82,no
coming,82,no
30k,82,no
month,82,no
wait,82,no
stop,81,no
powerful,81,no
please,81,no
traffic,81,no
msrp,80,no
couple,80,no
personally,80,no
20,79,no
due,79,no
thinking,79,no
version,79,no
manufacturers,79,no
sti,78,no
expect,78,no
excellent,78,no
taking,78,no
terms,78,no
offer,78,no
prices,78,no
says,78,no
example,77,no
area,77,no
exactly,77,no
except,77,no
93,77,no
zhp,77,no
talk,76,no
light,76,no
often,76,no
results,76,no
today,76,no
hit,75,no
c,75,no
months,75,no
several,75,no
handle,75,no
finally,75,no
selling,74,no
25,74,no
personal,74,no
base,74,no
lux,74,no
lots,74,no
call,74,no
brakes,74,no
mazda,74,yes
head,73,no
subjective,73,no
looked,73,no
range,73,no
according,73,no
control,73,no
comparo,73,no
stick,72,no
warranty,72,no
mile,72,no
magazine,72,no
youll,72,no
family,72,no
shift,72,no
tested,72,no
behind,72,no
case,72,no
seconds,72,no
body,72,no
equipped,71,no
35,71,no
doubt,71,no
issues,71,no
including,71,no
brands,71,no
along,71,no
smaller,71,no
street,70,no
using,70,no
decision,70,no
sense,70,no
horsepower,70,no
idea,70,no
previous,70,no
inside,70,no
03,70,no
gt,70,no
nearly,69,no
choose,69,no
whats,69,no
mine,69,no
total,69,no
life,69,no
rl,69,no
05,69,no
feels,69,no
posts,69,no
nav,69,no
lower,69,no
service,69,no
free,69,no
ones,68,no
sporty,68,no
mentioned,68,no
economy,68,no
dealers,68,no
xtype,68,no
considering,68,no
forum,67,no
whether,67,no
gear,67,no
loaded,67,no
2003,67,no
company,67,no
sounds,67,no
motor,67,no
clutch,67,no
smooth,67,no
correct,67,no
saw,67,no
6speed,67,no
topic,67,no
costs,67,no
comments,66,no
reviews,66,no
edmunds,66,no
whatever,66,no
soon,66,no
roads,66,no
easy,66,no
figure,66,no
perfect,65,no
review,65,no
chrysler,65,yes
move,65,no
notice,65,no
none,64,no
within,64,no
is350,64,no
called,64,no
forget,64,no
home,64,no
obviously,64,no
rest,63,no
major,63,no
youd,63,no
full,63,no
serious,63,no
reasons,63,no
e90,63,no
order,63,no
liked,63,no
e46,63,no
50,63,no
name,63,no
blueguy,63,no
bigger,62,no
fit,62,no
winter,62,no
tests,62,no
usually,62,no
afford,62,no
pick,62,no
porsche,62,yes
traction,62,no
braking,62,no
figures,62,no
seriously,62,no
competition,61,no
100,61,no
slow,61,no
room,61,no
straight,61,no
takes,61,no
otherwise,61,no
530i,61,no
per,61,no
heck,60,no
hey,60,no
admit,60,no
hand,60,no
bottom,60,no
handles,60,no
gm,60,no
certain,60,no
instead,60,no
equal,60,no
lease,59,no
bet,59,no
cannot,59,no
manufacturer,59,no
racing,59,no
space,59,no
points,59,no
kd,59,no
european,59,no
worse,59,no
14,58,no
cclass,58,no
regarding,58,no
statement,58,no
youve,58,no
8,58,no
