Address,Blank,City,County Name,HCAHPS Answer Description,HCAHPS Answer Percent Footnote,HCAHPS Answer Percent,HCAHPS Measure ID,HCAHPS Question,Hospital Name,Latitude,Location,Longitude,Measure End Date,Measure Start Date,Number of Completed Surveys Footnote,Number of Completed Surveys,Number of Records,Patient Survey Star Rating Footnote,Patient Survey Star Rating,Phone Number,Provider ID,State,Survey Response Rate Percent Footnote,Survey Response Rate Percent,ZIP Code
27200 CALAROGA AVE,  ,HAYWARD,ALAMEDA,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,ST ROSE HOSPITAL,37.63291,"27200 CALAROGA AVEHAYWARD, CA",-122.089742,3/31/2017,4/1/2016,,614,1,,1,5.11E+09,50002,CA,,0.22,94545
2767 OLIVE HIGHWAY,  ,OROVILLE,BUTTE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,OROVILLE HOSPITAL,39.504535,"2767 OLIVE HIGHWAYOROVILLE, CA",-121.542106,3/31/2017,4/1/2016,,499,1,,1,5.31E+09,50030,CA,,0.26,95966
901 OLIVE DRIVE,  ,BAKERSFIELD,KERN,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,GOOD SAMARITAN HOSPITAL,35.412258,"901 OLIVE DRIVEBAKERSFIELD, CA",-119.039498,3/31/2017,4/1/2016,,235,1,,1,6.61E+09,50257,CA,,0.18,93308
1145 W REDONDO BEACH BLVD,  ,GARDENA,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,MEMORIAL HOSPITAL OF GARDENA,33.892375,"1145 W REDONDO BEACH BLVDGARDENA, CA",-118.295106,3/31/2017,4/1/2016,,478,1,,1,3.11E+09,50468,CA,,0.17,90247
2623 E SLAUSON AVE,  ,HUNTINGTON PARK,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,COMMUNITY HOSPITAL OF HUNTINGTON PARK,33.989182,"2623 E SLAUSON AVEHUNTINGTON PARK, CA",-118.22419,3/31/2017,4/1/2016,,368,1,,1,3.24E+09,50091,CA,,0.17,90255
1600 W AVE J,  ,LANCASTER,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,ANTELOPE VALLEY HOSPITAL,34.689371,"1600 W AVE JLANCASTER, CA",-118.158476,3/31/2017,4/1/2016,,419,1,,1,6.62E+09,50056,CA,,0.16,93534
1720 TERMINO AVENUE,  ,LONG BEACH,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,COMMUNITY HOSPITAL OF LONG BEACH,33.788231,"1720 TERMINO AVENUELONG BEACH, CA",-118.145886,3/31/2017,4/1/2016,,278,1,,1,5.62E+09,50727,CA,,0.18,90804
4060 WHITTIER BLVD,  ,LOS ANGELES,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,EAST LOS ANGELES DOCTORS HOSPITAL,34.02393,"4060 WHITTIER BLVDLOS ANGELES, CA",-118.184285,3/31/2017,4/1/2016,,367,1,,1,3.23E+09,50641,CA,,0.18,90023
5900 WEST OLYMPIC BOULEVARD,  ,LOS ANGELES,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,OLYMPIA MEDICAL CENTER,34.057527,"5900 WEST OLYMPIC BOULEVARDLOS ANGELES, CA",-118.359857,3/31/2017,4/1/2016,,480,1,,1,3.11E+09,50742,CA,,0.18,90036
4081 E OLYMPIC BLVD,  ,LOS ANGELES,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,LOS ANGELES COMMUNITY HOSPITAL,34.018874,"4081 E OLYMPIC BLVDLOS ANGELES, CA",-118.186461,3/31/2017,4/1/2016,,720,1,,1,3.23E+09,50663,CA,,0.13,90023
13100 STUDERBAKER ROAD,  ,NORWALK,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,COAST PLAZA HOSPITAL,33.912428,"13100 STUDERBAKER ROADNORWALK, CA",-118.099156,3/31/2017,4/1/2016,,264,1,,1,3.10E+09,50771,CA,,0.14,90650
14850 ROSCOE BLVD,  ,PANORAMA CITY,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,MISSION COMMUNITY HOSPITAL,34.221494,"14850 ROSCOE BLVDPANORAMA CITY, CA",-118.456802,3/31/2017,4/1/2016,,250,1,,1,8.19E+09,50704,CA,,0.13,91402
4929 VAN NUYS BLVD,  ,SHERMAN OAKS,LOS ANGELES,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,SHERMAN OAKS HOSPITAL,34.15981,"4929 VAN NUYS BLVDSHERMAN OAKS, CA",-118.448705,3/31/2017,4/1/2016,,466,1,,1,8.19E+09,50755,CA,,0.17,91403
1025 S ANAHEIM BLVD,  ,ANAHEIM,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,ANAHEIM GLOBAL MEDICAL CENTER,33.820566,"1025 S ANAHEIM BLVDANAHEIM, CA",-117.909002,3/31/2017,4/1/2016,,384,1,,1,7.15E+09,50744,CA,,0.24,92805
3033 W ORANGE AVENUE,  ,ANAHEIM,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,WEST ANAHEIM MEDICAL CENTER,33.824735,"3033 W ORANGE AVENUEANAHEIM, CA",-117.995115,3/31/2017,4/1/2016,,424,1,,1,7.15E+09,50426,CA,,0.18,92804
17100 EUCLID STREET,  ,FOUNTAIN VALLEY,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,33.715435,"17100 EUCLID STREETFOUNTAIN VALLEY, CA",-117.937012,3/31/2017,4/1/2016,,982,1,,1,7.15E+09,50570,CA,,0.23,92708
12601 GARDEN GROVE BLVD,  ,GARDEN GROVE,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,GARDEN GROVE HOSPITAL & MEDICAL CENTER,33.774471,"12601 GARDEN GROVE BLVDGARDEN GROVE, CA",-117.913645,3/31/2017,4/1/2016,,422,1,,1,7.15E+09,50230,CA,,0.2,92843
17772 BEACH BLVD,  ,HUNTINGTON BEACH,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,HUNTINGTON BEACH HOSPITAL,33.703889,"17772 BEACH BLVDHUNTINGTON BEACH, CA",-117.989065,3/31/2017,4/1/2016,,280,1,,1,7.15E+09,50526,CA,,0.15,92647
2601 E CHAPMAN AVE,  ,ORANGE,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,CHAPMAN GLOBAL MEDICAL CENTER,33.787878,"2601 E CHAPMAN AVEORANGE, CA",-117.827058,3/31/2017,4/1/2016,,168,1,,1,7.15E+09,50745,CA,,0.18,92869
2701 S BRISTOL ST,  ,SANTA ANA,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,SOUTH COAST GLOBAL MEDICAL CENTER,33.710682,"2701 S BRISTOL STSANTA ANA, CA",-117.88541,3/31/2017,4/1/2016,,644,1,,1,7.15E+09,50747,CA,,0.29,92704
1001 NORTH TUSTIN AVENUE,  ,SANTA ANA,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,ORANGE COUNTY GLOBAL MEDICAL CENTER,33.753636,"1001 NORTH TUSTIN AVENUESANTA ANA, CA",-117.834209,3/31/2017,4/1/2016,,951,1,,1,7.15E+09,50746,CA,,0.26,92705
14662 NEWPORT AVE,  ,TUSTIN,ORANGE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,FOOTHILL REGIONAL MEDICAL CENTER,33.730907,"14662 NEWPORT AVETUSTIN, CA",-117.829351,3/31/2017,4/1/2016,,194,1,,1,7.15E+09,50780,CA,,0.15,92780
1117 EAST DEVONSHIRE,  ,HEMET,RIVERSIDE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,HEMET VALLEY MEDICAL CENTER,33.75122,"1117 EAST DEVONSHIREHEMET, CA",-116.959859,3/31/2017,4/1/2016,,466,1,,1,9.52E+09,50390,CA,,0.16,92543
26520 CACTUS AVENUE,  ,MORENO VALLEY,RIVERSIDE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,33.910054,"26520 CACTUS AVENUEMORENO VALLEY, CA",-117.195824,3/31/2017,4/1/2016,,502,1,,1,9.51E+09,50292,CA,,0.09,92555
28400 MCCALL B0ULEVARD,  ,SUN CITY,RIVERSIDE,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,MENIFEE VALLEY MEDICAL CENTER,,"28400 MCCALL B0ULEVARDSUN CITY, CA",,3/31/2017,4/1/2016,,295,1,,1,9.52E+09,50684,CA,,0.18,92585
6601 WHITE FEATHER ROAD,  ,JOSHUA TREE,SAN BERNARDINO,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,HI-DESERT MEDICAL CENTER,34.132676,"6601 WHITE FEATHER ROADJOSHUA TREE, CA",-116.276709,3/31/2017,4/1/2016,,425,1,,1,7.60E+09,50279,CA,,0.28,92252
5000 SAN BERNARDINO ST,  ,MONTCLAIR,SAN BERNARDINO,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,MONTCLAIR HOSPITAL MEDICAL CENTER,34.077662,"5000 SAN BERNARDINO STMONTCLAIR, CA",-117.696098,3/31/2017,4/1/2016,,454,1,,1,9.10E+09,50758,CA,,0.22,91763
16850 BEAR VALLEY RD,  ,VICTORVILLE,SAN BERNARDINO,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,DESERT VALLEY HOSPITAL,34.470911,"16850 BEAR VALLEY RDVICTORVILLE, CA",-117.297099,3/31/2017,4/1/2016,,455,1,,1,7.60E+09,50709,CA,,0.25,92395
15248 11TH ST,  ,VICTORVILLE,SAN BERNARDINO,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,VICTOR VALLEY GLOBAL MEDICAL CENTER,34.52897,"15248 11TH STVICTORVILLE, CA",-117.292518,3/31/2017,4/1/2016,,707,1,,1,7.60E+09,50517,CA,,0.15,92392
726 4TH ST,  ,MARYSVILLE,YUBA,Care transition - star rating,,,H_COMP_7_STAR_RATING,Care transition ,RIDEOUT MEMORIAL HOSPITAL,39.138832,"726 4TH STMARYSVILLE, CA",-121.593622,3/31/2017,4/1/2016,,330,1,,1,5.31E+09,50133,CA,,0.19,95901
2450 ASHBY AVENUE,  ,BERKELEY,ALAMEDA,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,37.856488,"2450 ASHBY AVENUEBERKELEY, CA",-122.257329,3/31/2017,4/1/2016,,1321,1,,1,5.10E+09,50305,CA,,0.2,94705
2767 OLIVE HIGHWAY,  ,OROVILLE,BUTTE,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,OROVILLE HOSPITAL,39.504535,"2767 OLIVE HIGHWAYOROVILLE, CA",-121.542106,3/31/2017,4/1/2016,,499,1,,1,5.31E+09,50030,CA,,0.26,95966
6001 NORRIS CANYON ROAD,  ,SAN RAMON,CONTRA COSTA,Cleanliness - star rating,,,H_CLEAN_STAR_RATING,Cleanliness,SAN RAMON REGIONAL MEDICAL CTR,37.775988,"6001 NORRIS CANYON ROADSAN RAMON, CA",-121.959274,3/31/2017,4/1/2016,,493,1,,1,9.25E+09,50689,CA,,0.29,94583
